continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
0,Oceania,2020-01-05,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-06,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-07,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-08,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-09,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-10,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-11,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-12,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-13,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-14,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-15,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-16,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-17,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-18,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-19,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-20,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-21,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-22,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-23,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-24,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-25,45038860,0.0,0.0,0.0,0.0
0,Oceania,2020-01-26,45038860,4.0,4.0,0.0,0.0
0,Oceania,2020-01-27,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-01-28,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-01-29,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-01-30,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-01-31,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-02-01,45038860,4.0,0.0,0.0,0.0
0,Oceania,2020-02-02,45038860,12.0,8.0,0.0,0.0
0,Oceania,2020-02-03,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-04,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-05,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-06,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-07,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-08,45038860,12.0,0.0,0.0,0.0
0,Oceania,2020-02-09,45038860,15.0,3.0,0.0,0.0
0,Oceania,2020-02-10,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-11,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-12,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-13,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-14,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-15,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-16,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-17,45038860,15.0,0.0,0.0,0.0
0,Oceania,2020-02-18,45038860,15.0,0.0,0.0,0.0
