continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Oman,2020-01-05,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-06,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-07,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-08,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-09,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-10,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-11,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-12,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-13,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-14,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-15,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-16,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-17,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-18,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-19,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-20,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-21,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-22,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-23,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-24,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-25,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-26,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-27,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-28,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-29,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-30,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-01-31,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-01,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-02,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-03,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-04,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-05,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-06,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-07,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-08,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-09,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-10,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-11,4576300,0.0,0.0,0.0,0.0
Asia,Oman,2020-02-12,4576300,0.0,0.0,0.0,0.0
