continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Pakistan,2020-01-05,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-06,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-07,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-08,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-09,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-10,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-11,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-12,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-13,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-14,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-15,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-16,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-17,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-18,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-19,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-20,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-21,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-22,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-23,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-24,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-25,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-26,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-27,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-28,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-29,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-30,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-01-31,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-01,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-02,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-03,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-04,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-05,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-06,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-07,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-08,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-09,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-10,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-11,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-12,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-13,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-14,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-15,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-16,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-17,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-18,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-19,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-20,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-21,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-22,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-23,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-24,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-25,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-26,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-27,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-28,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-02-29,235824864,0.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-01,235824864,2.0,2.0,0.0,0.0
Asia,Pakistan,2020-03-02,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-03,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-04,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-05,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-06,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-07,235824864,2.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-08,235824864,6.0,4.0,0.0,0.0
Asia,Pakistan,2020-03-09,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-10,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-11,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-12,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-13,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-14,235824864,6.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-15,235824864,21.0,15.0,0.0,0.0
Asia,Pakistan,2020-03-16,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-17,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-18,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-19,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-20,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-21,235824864,21.0,0.0,0.0,0.0
Asia,Pakistan,2020-03-22,235824864,461.0,440.0,2.0,2.0
