continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Palau,2020-01-05,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-06,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-07,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-08,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-09,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-10,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-11,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-12,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-13,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-14,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-15,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-16,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-17,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-18,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-19,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-20,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-21,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-22,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-23,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-24,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-25,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-26,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-27,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-28,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-29,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-30,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-01-31,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-01,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-02,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-03,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-04,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-05,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-06,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-07,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-08,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-09,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-10,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-11,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-12,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-13,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-14,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-15,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-16,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-17,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-18,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-19,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-20,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-21,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-22,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-23,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-24,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-25,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-26,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-27,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-28,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-02-29,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-01,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-02,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-03,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-04,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-05,18084,0.0,0.0,0.0,0.0
Oceania,Palau,2020-03-06,18084,0.0,0.0,0.0,0.0
