continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Panama,2020-01-05,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-06,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-07,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-08,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-09,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-10,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-11,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-12,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-13,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-14,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-15,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-16,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-17,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-18,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-19,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-20,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-21,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-22,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-23,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-24,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-25,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-26,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-27,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-28,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-29,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-30,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-01-31,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-01,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-02,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-03,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-04,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-05,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-06,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-07,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-08,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-09,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-10,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-11,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-12,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-13,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-14,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-15,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-16,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-17,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-18,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-19,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-20,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-21,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-22,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-23,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-24,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-25,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-26,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-27,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-28,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-02-29,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-01,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-02,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-03,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-04,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-05,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-06,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-07,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-08,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-09,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-10,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-11,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-12,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-13,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-14,4408582,0.0,0.0,0.0,0.0
North America,Panama,2020-03-15,4408582,27.0,27.0,1.0,1.0
North America,Panama,2020-03-16,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-17,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-18,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-19,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-20,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-21,4408582,27.0,0.0,1.0,0.0
North America,Panama,2020-03-22,4408582,137.0,110.0,1.0,0.0
North America,Panama,2020-03-23,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-24,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-25,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-26,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-27,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-28,4408582,137.0,0.0,1.0,0.0
North America,Panama,2020-03-29,4408582,786.0,649.0,14.0,13.0
North America,Panama,2020-03-30,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-03-31,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-04-01,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-04-02,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-04-03,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-04-04,4408582,786.0,0.0,14.0,0.0
North America,Panama,2020-04-05,4408582,1673.0,887.0,41.0,27.0
North America,Panama,2020-04-06,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-07,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-08,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-09,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-10,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-11,4408582,1673.0,0.0,41.0,0.0
North America,Panama,2020-04-12,4408582,2974.0,1301.0,74.0,33.0
North America,Panama,2020-04-13,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-14,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-15,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-16,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-17,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-18,4408582,2974.0,0.0,74.0,0.0
North America,Panama,2020-04-19,4408582,4210.0,1236.0,115.0,41.0
North America,Panama,2020-04-20,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-21,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-22,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-23,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-24,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-25,4408582,4210.0,0.0,115.0,0.0
North America,Panama,2020-04-26,4408582,5338.0,1128.0,154.0,39.0
North America,Panama,2020-04-27,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-04-28,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-04-29,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-04-30,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-05-01,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-05-02,4408582,5338.0,0.0,154.0,0.0
North America,Panama,2020-05-03,4408582,6720.0,1382.0,192.0,38.0
North America,Panama,2020-05-04,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-05,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-06,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-07,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-08,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-09,4408582,6720.0,0.0,192.0,0.0
North America,Panama,2020-05-10,4408582,8070.0,1350.0,231.0,39.0
North America,Panama,2020-05-11,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-12,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-13,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-14,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-15,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-16,4408582,8070.0,0.0,231.0,0.0
North America,Panama,2020-05-17,4408582,9268.0,1198.0,266.0,35.0
North America,Panama,2020-05-18,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-19,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-20,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-21,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-22,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-23,4408582,9268.0,0.0,266.0,0.0
North America,Panama,2020-05-24,4408582,10267.0,999.0,295.0,29.0
