continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Philippines,2020-01-05,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-06,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-07,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-08,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-09,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-10,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-11,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-12,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-13,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-14,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-15,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-16,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-17,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-18,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-19,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-20,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-21,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-22,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-23,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-24,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-25,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-26,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-27,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-28,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-29,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-30,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-01-31,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-02-01,115559008,0.0,0.0,0.0,0.0
Asia,Philippines,2020-02-02,115559008,1.0,1.0,1.0,1.0
Asia,Philippines,2020-02-03,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-04,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-05,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-06,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-07,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-08,115559008,1.0,0.0,1.0,0.0
Asia,Philippines,2020-02-09,115559008,3.0,2.0,1.0,0.0
Asia,Philippines,2020-02-10,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-11,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-12,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-13,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-14,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-15,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-16,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-17,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-18,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-19,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-20,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-21,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-22,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-23,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-24,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-25,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-26,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-27,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-28,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-02-29,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-01,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-02,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-03,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-04,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-05,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-06,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-07,115559008,3.0,0.0,1.0,0.0
Asia,Philippines,2020-03-08,115559008,6.0,3.0,1.0,0.0
Asia,Philippines,2020-03-09,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-10,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-11,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-12,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-13,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-14,115559008,6.0,0.0,1.0,0.0
Asia,Philippines,2020-03-15,115559008,111.0,105.0,11.0,10.0
Asia,Philippines,2020-03-16,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-17,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-18,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-19,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-20,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-21,115559008,111.0,0.0,11.0,0.0
Asia,Philippines,2020-03-22,115559008,307.0,196.0,25.0,14.0
Asia,Philippines,2020-03-23,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-24,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-25,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-26,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-27,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-28,115559008,307.0,0.0,25.0,0.0
Asia,Philippines,2020-03-29,115559008,1075.0,768.0,68.0,43.0
Asia,Philippines,2020-03-30,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-03-31,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-04-01,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-04-02,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-04-03,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-04-04,115559008,1075.0,0.0,68.0,0.0
Asia,Philippines,2020-04-05,115559008,3094.0,2019.0,144.0,76.0
Asia,Philippines,2020-04-06,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-07,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-08,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-09,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-10,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-11,115559008,3094.0,0.0,144.0,0.0
Asia,Philippines,2020-04-12,115559008,4428.0,1334.0,247.0,103.0
Asia,Philippines,2020-04-13,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-14,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-15,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-16,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-17,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-18,115559008,4428.0,0.0,247.0,0.0
Asia,Philippines,2020-04-19,115559008,6087.0,1659.0,397.0,150.0
Asia,Philippines,2020-04-20,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-21,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-22,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-23,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-24,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-25,115559008,6087.0,0.0,397.0,0.0
Asia,Philippines,2020-04-26,115559008,7294.0,1207.0,494.0,97.0
Asia,Philippines,2020-04-27,115559008,7294.0,0.0,494.0,0.0
