continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Saint Barthelemy,2020-01-05,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-06,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-07,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-08,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-09,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-10,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-11,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-12,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-13,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-14,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-15,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-16,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-17,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-18,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-19,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-20,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-21,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-22,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-23,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-24,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-25,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-26,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-27,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-28,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-29,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-30,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-01-31,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-01,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-02,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-03,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-04,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-05,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-06,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-07,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-08,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-09,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-10,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-11,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-12,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-13,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-14,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-15,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-16,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-17,10994,0.0,0.0,0.0,0.0
North America,Saint Barthelemy,2020-02-18,10994,0.0,0.0,0.0,0.0
