continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Saint Kitts and Nevis,2020-01-05,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-06,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-07,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-08,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-09,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-10,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-11,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-12,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-13,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-14,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-15,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-16,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-17,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-18,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-19,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-20,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-21,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-22,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-23,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-24,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-25,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-26,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-27,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-28,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-29,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-30,47681,0.0,0.0,0.0,0.0
North America,Saint Kitts and Nevis,2020-01-31,47681,0.0,0.0,0.0,0.0
