continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Saint Vincent and the Grenadines,2020-01-05,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-06,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-07,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-08,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-09,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-10,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-11,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-12,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-13,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-14,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-15,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-16,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-17,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-18,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-19,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-20,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-21,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-22,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-23,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-24,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-25,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-26,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-27,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-28,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-29,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-30,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-01-31,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-01,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-02,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-03,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-04,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-05,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-06,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-07,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-08,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-09,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-10,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-11,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-12,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-13,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-14,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-15,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-16,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-17,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-18,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-19,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-20,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-21,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-22,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-23,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-24,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-25,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-26,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-27,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-28,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-02-29,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-01,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-02,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-03,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-04,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-05,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-06,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-07,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-08,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-09,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-10,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-11,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-12,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-13,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-14,103959,0.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-15,103959,1.0,1.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-16,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-17,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-18,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-19,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-20,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-21,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-22,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-23,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-24,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-25,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-26,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-27,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-28,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-29,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-30,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-03-31,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-01,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-02,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-03,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-04,103959,1.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-05,103959,3.0,2.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-06,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-07,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-08,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-09,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-10,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-11,103959,3.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-12,103959,12.0,9.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-13,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-14,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-15,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-16,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-17,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-18,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-19,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-20,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-21,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-22,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-23,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-24,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-25,103959,12.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-26,103959,14.0,2.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-27,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-28,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-29,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-04-30,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-01,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-02,103959,14.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-03,103959,16.0,2.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-04,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-05,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-06,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-07,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-08,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-09,103959,16.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-10,103959,17.0,1.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-11,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-12,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-13,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-14,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-15,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-16,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-17,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-18,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-19,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-20,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-21,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-22,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-23,103959,17.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-24,103959,18.0,1.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-25,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-26,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-27,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-28,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-29,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-30,103959,18.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-05-31,103959,25.0,7.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-01,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-02,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-03,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-04,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-05,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-06,103959,25.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-07,103959,26.0,1.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-08,103959,26.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-09,103959,26.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-10,103959,26.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-11,103959,26.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-12,103959,26.0,0.0,0.0,0.0
North America,Saint Vincent and the Grenadines,2020-06-13,103959,26.0,0.0,0.0,0.0
