continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Sao Tome and Principe,2020-01-05,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-06,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-07,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-08,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-09,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-10,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-11,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-12,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-13,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-14,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-15,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-16,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-17,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-18,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-19,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-20,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-21,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-22,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-23,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-24,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-25,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-26,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-27,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-28,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-29,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-30,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-01-31,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-01,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-02,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-03,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-04,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-05,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-06,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-07,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-08,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-09,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-10,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-11,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-12,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-13,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-14,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-15,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-16,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-17,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-18,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-19,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-20,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-21,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-22,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-23,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-24,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-25,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-26,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-27,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-28,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-02-29,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-01,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-02,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-03,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-04,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-05,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-06,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-07,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-08,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-09,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-10,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-11,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-12,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-13,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-14,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-15,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-16,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-17,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-18,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-19,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-20,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-21,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-22,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-23,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-24,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-25,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-26,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-27,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-28,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-29,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-30,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-03-31,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-01,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-02,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-03,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-04,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-05,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-06,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-07,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-08,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-09,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-10,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-11,227393,0.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-12,227393,4.0,4.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-13,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-14,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-15,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-16,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-17,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-18,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-19,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-20,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-21,227393,4.0,0.0,0.0,0.0
Africa,Sao Tome and Principe,2020-04-22,227393,4.0,0.0,0.0,0.0
