continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Saudi Arabia,2020-01-05,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-06,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-07,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-08,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-09,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-10,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-11,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-12,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-13,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-14,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-15,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-16,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-17,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-18,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-19,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-20,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-21,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-22,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-23,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-24,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-25,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-26,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-27,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-28,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-29,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-30,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-01-31,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-01,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-02,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-03,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-04,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-05,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-06,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-07,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-08,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-09,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-10,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-11,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-12,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-13,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-14,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-15,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-16,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-17,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-18,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-19,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-20,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-21,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-22,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-23,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-24,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-25,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-26,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-27,36408824,0.0,0.0,0.0,0.0
Asia,Saudi Arabia,2020-02-28,36408824,0.0,0.0,0.0,0.0
