continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Sint Maarten (Dutch part),2020-01-05,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-06,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-07,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-08,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-09,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-10,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-11,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-12,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-13,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-14,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-15,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-16,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-17,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-18,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-19,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-20,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-21,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-22,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-23,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-24,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-25,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-26,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-27,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-28,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-29,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-30,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-01-31,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-02-01,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-02-02,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-02-03,44192,0.0,0.0,0.0,0.0
North America,Sint Maarten (Dutch part),2020-02-04,44192,0.0,0.0,0.0,0.0
