continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,South Korea,2020-01-05,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-06,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-07,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-08,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-09,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-10,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-11,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-12,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-13,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-14,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-15,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-16,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-17,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-18,51815808,0.0,0.0,0.0,0.0
Asia,South Korea,2020-01-19,51815808,1.0,1.0,0.0,0.0
Asia,South Korea,2020-01-20,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-21,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-22,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-23,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-24,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-25,51815808,1.0,0.0,0.0,0.0
Asia,South Korea,2020-01-26,51815808,3.0,2.0,0.0,0.0
Asia,South Korea,2020-01-27,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-01-28,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-01-29,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-01-30,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-01-31,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-02-01,51815808,3.0,0.0,0.0,0.0
Asia,South Korea,2020-02-02,51815808,15.0,12.0,0.0,0.0
Asia,South Korea,2020-02-03,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-04,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-05,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-06,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-07,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-08,51815808,15.0,0.0,0.0,0.0
Asia,South Korea,2020-02-09,51815808,27.0,12.0,0.0,0.0
Asia,South Korea,2020-02-10,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-11,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-12,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-13,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-14,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-15,51815808,27.0,0.0,0.0,0.0
Asia,South Korea,2020-02-16,51815808,30.0,3.0,0.0,0.0
Asia,South Korea,2020-02-17,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-18,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-19,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-20,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-21,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-22,51815808,30.0,0.0,0.0,0.0
Asia,South Korea,2020-02-23,51815808,556.0,526.0,3.0,3.0
Asia,South Korea,2020-02-24,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-02-25,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-02-26,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-02-27,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-02-28,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-02-29,51815808,556.0,0.0,3.0,0.0
Asia,South Korea,2020-03-01,51815808,3526.0,2970.0,17.0,14.0
Asia,South Korea,2020-03-02,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-03,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-04,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-05,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-06,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-07,51815808,3526.0,0.0,17.0,0.0
Asia,South Korea,2020-03-08,51815808,7134.0,3608.0,50.0,33.0
Asia,South Korea,2020-03-09,51815808,7134.0,0.0,50.0,0.0
