continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Spain,2020-01-05,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-06,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-07,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-08,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-09,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-10,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-11,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-12,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-13,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-14,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-15,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-16,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-17,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-18,47558632,0.0,0.0,0.0,0.0
Europe,Spain,2020-01-19,47558632,2.0,2.0,0.0,0.0
Europe,Spain,2020-01-20,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-21,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-22,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-23,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-24,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-25,47558632,2.0,0.0,0.0,0.0
Europe,Spain,2020-01-26,47558632,3.0,1.0,0.0,0.0
Europe,Spain,2020-01-27,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-01-28,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-01-29,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-01-30,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-01-31,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-02-01,47558632,3.0,0.0,0.0,0.0
Europe,Spain,2020-02-02,47558632,5.0,2.0,0.0,0.0
Europe,Spain,2020-02-03,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-04,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-05,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-06,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-07,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-08,47558632,5.0,0.0,0.0,0.0
Europe,Spain,2020-02-09,47558632,7.0,2.0,0.0,0.0
Europe,Spain,2020-02-10,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-11,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-12,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-13,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-14,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-15,47558632,7.0,0.0,0.0,0.0
Europe,Spain,2020-02-16,47558632,11.0,4.0,1.0,1.0
Europe,Spain,2020-02-17,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-18,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-19,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-20,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-21,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-22,47558632,11.0,0.0,1.0,0.0
Europe,Spain,2020-02-23,47558632,19.0,8.0,1.0,0.0
Europe,Spain,2020-02-24,47558632,19.0,0.0,1.0,0.0
Europe,Spain,2020-02-25,47558632,19.0,0.0,1.0,0.0
Europe,Spain,2020-02-26,47558632,19.0,0.0,1.0,0.0
Europe,Spain,2020-02-27,47558632,19.0,0.0,1.0,0.0
