continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Sri Lanka,2020-01-05,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-06,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-07,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-08,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-09,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-10,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-11,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-12,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-13,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-14,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-15,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-16,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-17,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-18,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-19,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-20,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-21,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-22,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-23,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-24,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-25,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-26,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-27,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-28,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-29,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-30,21832150,0.0,0.0,0.0,0.0
Asia,Sri Lanka,2020-01-31,21832150,0.0,0.0,0.0,0.0
