continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Sudan,2020-01-05,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-06,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-07,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-08,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-09,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-10,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-11,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-12,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-13,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-14,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-15,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-16,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-17,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-18,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-19,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-20,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-21,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-22,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-23,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-24,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-25,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-26,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-27,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-28,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-29,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-30,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-01-31,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-01,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-02,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-03,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-04,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-05,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-06,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-07,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-08,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-09,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-10,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-11,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-12,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-13,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-14,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-15,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-16,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-17,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-18,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-19,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-20,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-21,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-22,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-23,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-24,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-25,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-26,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-27,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-28,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-02-29,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-03-01,46874200,0.0,0.0,0.0,0.0
Africa,Sudan,2020-03-02,46874200,0.0,0.0,0.0,0.0
