continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Suriname,2020-01-05,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-06,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-07,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-08,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-09,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-10,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-11,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-12,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-13,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-14,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-15,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-16,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-17,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-18,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-19,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-20,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-21,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-22,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-23,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-24,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-25,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-26,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-27,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-28,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-29,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-30,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-01-31,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-01,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-02,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-03,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-04,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-05,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-06,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-07,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-08,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-09,618046,0.0,0.0,0.0,0.0
South America,Suriname,2020-02-10,618046,0.0,0.0,0.0,0.0
