continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,Switzerland,2020-01-05,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-06,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-07,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-08,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-09,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-10,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-11,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-12,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-13,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-14,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-15,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-16,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-17,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-18,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-19,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-20,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-21,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-22,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-23,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-24,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-25,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-26,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-27,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-28,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-29,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-30,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-01-31,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-01,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-02,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-03,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-04,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-05,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-06,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-07,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-08,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-09,8740471,0.0,0.0,0.0,0.0
Europe,Switzerland,2020-02-10,8740471,0.0,0.0,0.0,0.0
