continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Syria,2020-01-05,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-06,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-07,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-08,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-09,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-10,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-11,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-12,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-13,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-14,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-15,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-16,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-17,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-18,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-19,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-20,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-21,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-22,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-23,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-24,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-25,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-26,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-27,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-28,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-29,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-30,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-01-31,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-01,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-02,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-03,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-04,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-05,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-06,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-07,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-08,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-09,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-10,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-11,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-12,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-13,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-14,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-15,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-16,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-17,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-18,22125242,0.0,0.0,0.0,0.0
Asia,Syria,2020-02-19,22125242,0.0,0.0,0.0,0.0
