continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Tanzania,2020-01-05,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-06,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-07,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-08,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-09,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-10,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-11,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-12,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-13,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-14,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-15,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-16,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-17,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-18,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-19,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-20,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-21,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-22,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-23,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-24,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-25,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-26,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-27,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-28,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-29,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-30,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-01-31,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-01,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-02,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-03,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-04,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-05,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-06,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-07,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-08,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-09,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-10,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-11,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-12,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-13,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-14,65497752,0.0,0.0,0.0,0.0
Africa,Tanzania,2020-02-15,65497752,0.0,0.0,0.0,0.0
