continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Thailand,2020-01-04,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-05,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-06,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-07,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-08,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-09,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-10,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-11,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-12,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-13,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-14,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-15,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-16,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-17,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-18,71697024,0.0,0.0,0.0,0.0
Asia,Thailand,2020-01-19,71697024,6.0,6.0,0.0,0.0
Asia,Thailand,2020-01-20,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-21,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-22,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-23,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-24,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-25,71697024,6.0,0.0,0.0,0.0
Asia,Thailand,2020-01-26,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-01-27,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-01-28,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-01-29,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-01-30,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-01-31,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-02-01,71697024,5.0,0.0,0.0,0.0
Asia,Thailand,2020-02-02,71697024,23.0,18.0,0.0,0.0
Asia,Thailand,2020-02-03,71697024,23.0,0.0,0.0,0.0
Asia,Thailand,2020-02-04,71697024,23.0,0.0,0.0,0.0
Asia,Thailand,2020-02-05,71697024,23.0,0.0,0.0,0.0
Asia,Thailand,2020-02-06,71697024,23.0,0.0,0.0,0.0
Asia,Thailand,2020-02-07,71697024,23.0,0.0,0.0,0.0
Asia,Thailand,2020-02-08,71697024,23.0,0.0,0.0,0.0
