continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Oceania,Tonga,2020-01-05,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-06,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-07,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-08,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-09,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-10,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-11,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-12,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-13,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-14,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-15,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-16,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-17,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-18,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-19,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-20,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-21,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-22,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-23,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-24,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-25,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-26,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-27,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-28,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-29,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-30,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-01-31,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-01,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-02,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-03,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-04,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-05,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-06,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-07,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-08,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-09,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-10,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-11,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-12,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-13,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-14,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-15,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-16,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-17,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-18,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-19,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-20,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-21,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-22,106867,0.0,0.0,0.0,0.0
Oceania,Tonga,2020-02-23,106867,0.0,0.0,0.0,0.0
