continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Trinidad and Tobago,2020-01-05,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-06,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-07,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-08,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-09,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-10,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-11,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-12,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-13,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-14,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-15,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-16,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-17,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-18,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-19,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-20,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-21,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-22,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-23,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-24,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-25,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-26,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-27,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-28,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-29,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-30,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-01-31,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-02-01,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-02-02,1531043,0.0,0.0,0.0,0.0
North America,Trinidad and Tobago,2020-02-03,1531043,0.0,0.0,0.0,0.0
