continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,Turks and Caicos Islands,2020-01-05,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-06,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-07,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-08,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-09,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-10,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-11,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-12,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-13,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-14,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-15,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-16,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-17,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-18,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-19,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-20,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-21,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-22,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-23,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-24,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-25,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-26,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-27,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-28,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-29,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-30,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-01-31,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-01,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-02,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-03,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-04,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-05,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-06,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-07,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-08,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-09,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-10,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-11,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-12,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-13,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-14,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-15,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-16,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-17,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-18,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-19,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-20,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-21,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-22,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-23,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-24,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-25,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-26,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-27,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-28,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-02-29,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-01,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-02,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-03,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-04,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-05,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-06,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-07,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-08,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-09,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-10,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-11,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-12,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-13,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-14,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-15,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-16,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-17,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-18,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-19,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-20,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-21,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-22,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-23,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-24,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-25,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-26,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-27,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-28,45726,0.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-29,45726,2.0,2.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-30,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-03-31,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-01,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-02,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-03,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-04,45726,2.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-05,45726,5.0,3.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-06,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-07,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-08,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-09,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-10,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-11,45726,5.0,0.0,0.0,0.0
North America,Turks and Caicos Islands,2020-04-12,45726,8.0,3.0,1.0,1.0
North America,Turks and Caicos Islands,2020-04-13,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-14,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-15,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-16,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-17,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-18,45726,8.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-19,45726,11.0,3.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-20,45726,11.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-21,45726,11.0,0.0,1.0,0.0
North America,Turks and Caicos Islands,2020-04-22,45726,11.0,0.0,1.0,0.0
