continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,United Arab Emirates,2020-01-05,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-06,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-07,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-08,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-09,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-10,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-11,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-12,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-13,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-14,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-15,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-16,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-17,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-18,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-19,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-20,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-21,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-22,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-23,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-24,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-25,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-26,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-27,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-28,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-29,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-30,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-01-31,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-01,9441138,0.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-02,9441138,5.0,5.0,0.0,0.0
Asia,United Arab Emirates,2020-02-03,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-04,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-05,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-06,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-07,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-08,9441138,5.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-09,9441138,7.0,2.0,0.0,0.0
Asia,United Arab Emirates,2020-02-10,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-11,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-12,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-13,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-14,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-15,9441138,7.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-16,9441138,8.0,1.0,0.0,0.0
Asia,United Arab Emirates,2020-02-17,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-18,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-19,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-20,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-21,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-22,9441138,8.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-23,9441138,13.0,5.0,0.0,0.0
Asia,United Arab Emirates,2020-02-24,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-25,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-26,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-27,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-28,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-02-29,9441138,13.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-01,9441138,19.0,6.0,0.0,0.0
Asia,United Arab Emirates,2020-03-02,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-03,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-04,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-05,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-06,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-07,9441138,19.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-08,9441138,45.0,26.0,0.0,0.0
Asia,United Arab Emirates,2020-03-09,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-10,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-11,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-12,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-13,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-14,9441138,45.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-15,9441138,86.0,41.0,0.0,0.0
Asia,United Arab Emirates,2020-03-16,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-17,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-18,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-19,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-20,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-21,9441138,86.0,0.0,0.0,0.0
Asia,United Arab Emirates,2020-03-22,9441138,153.0,67.0,2.0,2.0
Asia,United Arab Emirates,2020-03-23,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-24,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-25,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-26,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-27,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-28,9441138,153.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-29,9441138,468.0,315.0,2.0,0.0
Asia,United Arab Emirates,2020-03-30,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-03-31,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-04-01,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-04-02,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-04-03,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-04-04,9441138,468.0,0.0,2.0,0.0
Asia,United Arab Emirates,2020-04-05,9441138,1505.0,1037.0,10.0,8.0
Asia,United Arab Emirates,2020-04-06,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-07,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-08,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-09,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-10,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-11,9441138,1505.0,0.0,10.0,0.0
Asia,United Arab Emirates,2020-04-12,9441138,3736.0,2231.0,20.0,10.0
Asia,United Arab Emirates,2020-04-13,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-14,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-15,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-16,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-17,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-18,9441138,3736.0,0.0,20.0,0.0
Asia,United Arab Emirates,2020-04-19,9441138,6302.0,2566.0,37.0,17.0
Asia,United Arab Emirates,2020-04-20,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-21,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-22,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-23,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-24,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-25,9441138,6302.0,0.0,37.0,0.0
Asia,United Arab Emirates,2020-04-26,9441138,9813.0,3511.0,71.0,34.0
Asia,United Arab Emirates,2020-04-27,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-04-28,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-04-29,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-04-30,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-05-01,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-05-02,9441138,9813.0,0.0,71.0,0.0
Asia,United Arab Emirates,2020-05-03,9441138,13599.0,3786.0,119.0,48.0
Asia,United Arab Emirates,2020-05-04,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-05,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-06,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-07,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-08,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-09,9441138,13599.0,0.0,119.0,0.0
Asia,United Arab Emirates,2020-05-10,9441138,17417.0,3818.0,185.0,66.0
Asia,United Arab Emirates,2020-05-11,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-12,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-13,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-14,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-15,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-16,9441138,17417.0,0.0,185.0,0.0
Asia,United Arab Emirates,2020-05-17,9441138,22627.0,5210.0,214.0,29.0
Asia,United Arab Emirates,2020-05-18,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-19,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-20,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-21,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-22,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-23,9441138,22627.0,0.0,214.0,0.0
Asia,United Arab Emirates,2020-05-24,9441138,28704.0,6077.0,244.0,30.0
Asia,United Arab Emirates,2020-05-25,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-26,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-27,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-28,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-29,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-30,9441138,28704.0,0.0,244.0,0.0
Asia,United Arab Emirates,2020-05-31,9441138,33896.0,5192.0,262.0,18.0
Asia,United Arab Emirates,2020-06-01,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-02,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-03,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-04,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-05,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-06,9441138,33896.0,0.0,262.0,0.0
Asia,United Arab Emirates,2020-06-07,9441138,38268.0,4372.0,275.0,13.0
Asia,United Arab Emirates,2020-06-08,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-09,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-10,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-11,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-12,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-13,9441138,38268.0,0.0,275.0,0.0
Asia,United Arab Emirates,2020-06-14,9441138,41990.0,3722.0,288.0,13.0
Asia,United Arab Emirates,2020-06-15,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-16,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-17,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-18,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-19,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-20,9441138,41990.0,0.0,288.0,0.0
Asia,United Arab Emirates,2020-06-21,9441138,44533.0,2543.0,301.0,13.0
Asia,United Arab Emirates,2020-06-22,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-23,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-24,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-25,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-26,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-27,9441138,44533.0,0.0,301.0,0.0
Asia,United Arab Emirates,2020-06-28,9441138,47360.0,2827.0,311.0,10.0
Asia,United Arab Emirates,2020-06-29,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-06-30,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-07-01,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-07-02,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-07-03,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-07-04,9441138,47360.0,0.0,311.0,0.0
Asia,United Arab Emirates,2020-07-05,9441138,50857.0,3497.0,321.0,10.0
Asia,United Arab Emirates,2020-07-06,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-07,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-08,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-09,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-10,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-11,9441138,50857.0,0.0,321.0,0.0
Asia,United Arab Emirates,2020-07-12,9441138,54453.0,3596.0,331.0,10.0
Asia,United Arab Emirates,2020-07-13,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-14,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-15,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-16,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-17,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-18,9441138,54453.0,0.0,331.0,0.0
Asia,United Arab Emirates,2020-07-19,9441138,56711.0,2258.0,338.0,7.0
Asia,United Arab Emirates,2020-07-20,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-21,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-22,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-23,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-24,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-25,9441138,56711.0,0.0,338.0,0.0
Asia,United Arab Emirates,2020-07-26,9441138,58562.0,1851.0,343.0,5.0
Asia,United Arab Emirates,2020-07-27,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-07-28,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-07-29,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-07-30,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-07-31,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-08-01,9441138,58562.0,0.0,343.0,0.0
Asia,United Arab Emirates,2020-08-02,9441138,60760.0,2198.0,351.0,8.0
Asia,United Arab Emirates,2020-08-03,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-04,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-05,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-06,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-07,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-08,9441138,60760.0,0.0,351.0,0.0
Asia,United Arab Emirates,2020-08-09,9441138,62300.0,1540.0,356.0,5.0
Asia,United Arab Emirates,2020-08-10,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-11,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-12,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-13,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-14,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-15,9441138,62300.0,0.0,356.0,0.0
Asia,United Arab Emirates,2020-08-16,9441138,64102.0,1802.0,361.0,5.0
Asia,United Arab Emirates,2020-08-17,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-18,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-19,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-20,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-21,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-22,9441138,64102.0,0.0,361.0,0.0
Asia,United Arab Emirates,2020-08-23,9441138,66617.0,2515.0,372.0,11.0
Asia,United Arab Emirates,2020-08-24,9441138,66617.0,0.0,372.0,0.0
Asia,United Arab Emirates,2020-08-25,9441138,66617.0,0.0,372.0,0.0
