continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Europe,United Kingdom,2020-01-05,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-06,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-07,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-08,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-09,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-10,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-11,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-12,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-13,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-14,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-15,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-16,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-17,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-18,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-19,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-20,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-21,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-22,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-23,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-24,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-25,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-26,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-27,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-28,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-29,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-30,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-01-31,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-02-01,67508936,0.0,0.0,0.0,0.0
Europe,United Kingdom,2020-02-02,67508936,1.0,1.0,1.0,1.0
Europe,United Kingdom,2020-02-03,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-04,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-05,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-06,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-07,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-08,67508936,1.0,0.0,1.0,0.0
Europe,United Kingdom,2020-02-09,67508936,21.0,20.0,2.0,1.0
Europe,United Kingdom,2020-02-10,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-11,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-12,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-13,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-14,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-15,67508936,21.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-16,67508936,32.0,11.0,2.0,0.0
Europe,United Kingdom,2020-02-17,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-18,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-19,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-20,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-21,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-22,67508936,32.0,0.0,2.0,0.0
Europe,United Kingdom,2020-02-23,67508936,35.0,3.0,2.0,0.0
