continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
North America,United States,2020-01-05,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-06,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-07,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-08,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-09,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-10,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-11,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-12,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-13,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-14,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-15,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-16,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-17,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-18,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-19,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-20,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-21,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-22,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-23,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-24,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-25,338289856,0.0,0.0,0.0,0.0
North America,United States,2020-01-26,338289856,7.0,7.0,0.0,0.0
North America,United States,2020-01-27,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-01-28,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-01-29,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-01-30,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-01-31,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-02-01,338289856,7.0,0.0,0.0,0.0
North America,United States,2020-02-02,338289856,9.0,2.0,0.0,0.0
North America,United States,2020-02-03,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-04,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-05,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-06,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-07,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-08,338289856,9.0,0.0,0.0,0.0
North America,United States,2020-02-09,338289856,20.0,11.0,0.0,0.0
North America,United States,2020-02-10,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-11,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-12,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-13,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-14,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-15,338289856,20.0,0.0,0.0,0.0
North America,United States,2020-02-16,338289856,24.0,4.0,0.0,0.0
North America,United States,2020-02-17,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-18,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-19,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-20,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-21,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-22,338289856,24.0,0.0,0.0,0.0
North America,United States,2020-02-23,338289856,40.0,16.0,0.0,0.0
North America,United States,2020-02-24,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-02-25,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-02-26,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-02-27,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-02-28,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-02-29,338289856,40.0,0.0,0.0,0.0
North America,United States,2020-03-01,338289856,73.0,33.0,1.0,1.0
North America,United States,2020-03-02,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-03,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-04,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-05,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-06,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-07,338289856,73.0,0.0,1.0,0.0
North America,United States,2020-03-08,338289856,464.0,391.0,19.0,18.0
North America,United States,2020-03-09,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-10,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-11,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-12,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-13,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-14,338289856,464.0,0.0,19.0,0.0
North America,United States,2020-03-15,338289856,3929.0,3465.0,69.0,50.0
North America,United States,2020-03-16,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-17,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-18,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-19,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-20,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-21,338289856,3929.0,0.0,69.0,0.0
North America,United States,2020-03-22,338289856,31415.0,27486.0,374.0,305.0
North America,United States,2020-03-23,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-24,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-25,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-26,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-27,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-28,338289856,31415.0,0.0,374.0,0.0
North America,United States,2020-03-29,338289856,126309.0,94894.0,2106.0,1732.0
North America,United States,2020-03-30,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-03-31,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-04-01,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-04-02,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-04-03,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-04-04,338289856,126309.0,0.0,2106.0,0.0
North America,United States,2020-04-05,338289856,302460.0,176151.0,8748.0,6642.0
North America,United States,2020-04-06,338289856,302460.0,0.0,8748.0,0.0
North America,United States,2020-04-07,338289856,302460.0,0.0,8748.0,0.0
