continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Uzbekistan,2020-01-05,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-06,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-07,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-08,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-09,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-10,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-11,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-12,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-13,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-14,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-15,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-16,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-17,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-18,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-19,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-20,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-21,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-22,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-23,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-24,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-25,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-26,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-27,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-28,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-29,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-30,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-01-31,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-02-01,34627648,0.0,0.0,0.0,0.0
Asia,Uzbekistan,2020-02-02,34627648,0.0,0.0,0.0,0.0
