continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
South America,Venezuela,2020-01-05,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-06,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-07,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-08,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-09,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-10,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-11,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-12,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-13,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-14,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-15,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-16,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-17,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-18,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-19,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-20,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-21,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-22,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-23,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-24,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-25,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-26,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-27,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-28,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-29,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-30,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-01-31,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-01,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-02,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-03,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-04,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-05,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-06,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-07,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-08,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-09,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-10,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-11,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-12,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-13,28301700,0.0,0.0,0.0,0.0
South America,Venezuela,2020-02-14,28301700,0.0,0.0,0.0,0.0
