continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Yemen,2020-01-05,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-06,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-07,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-08,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-09,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-10,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-11,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-12,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-13,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-14,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-15,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-16,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-17,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-18,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-19,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-20,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-21,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-22,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-23,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-24,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-25,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-26,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-27,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-28,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-29,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-30,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-01-31,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-01,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-02,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-03,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-04,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-05,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-06,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-07,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-08,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-09,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-10,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-11,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-12,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-13,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-14,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-15,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-16,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-17,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-18,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-19,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-20,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-21,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-22,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-23,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-24,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-25,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-26,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-27,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-28,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-02-29,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-01,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-02,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-03,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-04,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-05,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-06,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-07,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-08,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-09,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-10,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-11,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-12,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-13,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-14,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-15,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-16,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-17,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-18,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-19,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-20,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-21,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-22,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-23,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-24,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-25,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-26,33696612,0.0,0.0,0.0,0.0
Asia,Yemen,2020-03-27,33696612,0.0,0.0,0.0,0.0
