continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Africa,Zambia,2020-01-05,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-06,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-07,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-08,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-09,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-10,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-11,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-12,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-13,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-14,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-15,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-16,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-17,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-18,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-19,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-20,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-21,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-22,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-23,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-24,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-25,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-26,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-27,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-28,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-29,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-30,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-01-31,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-01,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-02,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-03,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-04,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-05,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-06,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-07,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-08,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-09,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-10,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-11,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-12,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-13,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-14,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-15,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-16,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-17,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-18,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-19,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-20,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-21,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-22,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-23,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-24,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-25,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-26,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-27,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-28,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-02-29,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-01,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-02,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-03,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-04,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-05,20017670,0.0,0.0,0.0,0.0
Africa,Zambia,2020-03-06,20017670,0.0,0.0,0.0,0.0
